scene_id	source_side	planet_date	year_month	planet_path	reason	available_stage_count	available_stages	available_candidate_count	best_candidate_date	best_candidate_day_diff
lower__20200326_160127_51_2277_3B_AnalyticMS_SR_8b_clip	lower	2020-03-26	2020-03	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_03_cf5b8a65-366f-4b70-946f-44166d008371/cf5b8a65-366f-4b70-946f-44166d008371/PSScene/20200326_160127_51_2277_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-03-26	0
lower__20200518_160614_48_2304_3B_AnalyticMS_SR_8b_clip	lower	2020-05-18	2020-05	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_05_347144c1-6706-4f8a-bb48-becf953da024/347144c1-6706-4f8a-bb48-becf953da024/PSScene/20200518_160614_48_2304_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-05-18	0
lower__20200712_155907_80_2271_3B_AnalyticMS_SR_8b_clip	lower	2020-07-12	2020-07	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_07_fa1621d8-017b-4bb1-9d9f-030250057dab/fa1621d8-017b-4bb1-9d9f-030250057dab/PSScene/20200712_155907_80_2271_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-07-14	2
lower__20200911_160140_57_2235_3B_AnalyticMS_SR_8b_clip	lower	2020-09-11	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200911_160140_57_2235_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-12	1
lower__20200914_165145_79_2424_3B_AnalyticMS_SR_8b_clip	lower	2020-09-14	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200914_165145_79_2424_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-12	2
lower__20200915_160313_43_222f_3B_AnalyticMS_SR_8b_clip	lower	2020-09-15	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200915_160313_43_222f_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-17	2
lower__20201110_160957_91_2279_3B_AnalyticMS_SR_8b_clip	lower	2020-11-10	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201110_160957_91_2279_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	4	2020-11-09	1
lower__20201111_161241_47_2441_3B_AnalyticMS_SR_8b_clip	lower	2020-11-11	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201111_161241_47_2441_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-11-11	0
lower__20201112_155500_22_220b_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201112_155500_22_220b_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-11	1
lower__20201112_164751_01_240a_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_164751_01_240a_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-11	1
lower__20201112_165508_83_2412_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201112_165508_83_2412_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-11	1
lower__20201112_165528_66_2407_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_165528_66_2407_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	3	2020-11-11	1
lower__20201112_165801_37_227c_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201112_165801_37_227c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-11	1
lower__20201113_155628_44_2235_3B_AnalyticMS_SR_8b_clip	lower	2020-11-13	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201113_155628_44_2235_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-11	2
lower__20201115_160230_56_2259_3B_AnalyticMS_SR_8b_clip	lower	2020-11-15	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201115_160230_56_2259_3B_AnalyticMS_SR_8b_clip.tif	no_overlap	1	pm5	1	2020-11-11	4
lower__20201115_160607_92_222c_3B_AnalyticMS_SR_8b_clip	lower	2020-11-15	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201115_160607_92_222c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-14	1
lower__20201116_165848_19_2426_3B_AnalyticMS_SR_8b_clip	lower	2020-11-16	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201116_165848_19_2426_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-11-14	2
lower__20201117_160218_09_2251_3B_AnalyticMS_SR_8b_clip	lower	2020-11-17	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201117_160218_09_2251_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-21	4
lower__20201118_160517_05_2264_3B_AnalyticMS_SR_8b_clip	lower	2020-11-18	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201118_160517_05_2264_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	3	2020-11-19	1
lower__20201118_160733_40_2278_3B_AnalyticMS_SR_8b_clip	lower	2020-11-18	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201118_160733_40_2278_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-19	1
lower__20201118_161209_21_2262_3B_AnalyticMS_SR_8b_clip	lower	2020-11-18	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201118_161209_21_2262_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-11-19	1
lower__20201118_164950_73_240c_3B_AnalyticMS_SR_8b_clip	lower	2020-11-18	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201118_164950_73_240c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-21	3
lower__20201118_165039_53_2401_3B_AnalyticMS_SR_8b_clip	lower	2020-11-18	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201118_165039_53_2401_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-19	1
lower__20201118_165931_84_227b_3B_AnalyticMS_SR_8b_clip	lower	2020-11-18	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201118_165931_84_227b_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-11-19	1
lower__20201119_165102_84_240f_3B_AnalyticMS_SR_8b_clip	lower	2020-11-19	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201119_165102_84_240f_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-21	2
