scene_id	source_side	planet_date	year_month	planet_path	reason	available_stage_count	available_stages	available_candidate_count	best_candidate_date	best_candidate_day_diff
lower__20200518_160621_09_2304_3B_AnalyticMS_SR_8b_clip	lower	2020-05-18	2020-05	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_05_347144c1-6706-4f8a-bb48-becf953da024/347144c1-6706-4f8a-bb48-becf953da024/PSScene/20200518_160621_09_2304_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-05-18	0
lower__20200712_155914_37_2271_3B_AnalyticMS_SR_8b_clip	lower	2020-07-12	2020-07	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_07_fa1621d8-017b-4bb1-9d9f-030250057dab/fa1621d8-017b-4bb1-9d9f-030250057dab/PSScene/20200712_155914_37_2271_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-07-14	2
lower__20200717_160353_20_2271_3B_AnalyticMS_SR_8b_clip	lower	2020-07-17	2020-07	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_07_fa1621d8-017b-4bb1-9d9f-030250057dab/fa1621d8-017b-4bb1-9d9f-030250057dab/PSScene/20200717_160353_20_2271_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	5	2020-07-17	0
lower__20200910_160117_36_222c_3B_AnalyticMS_SR_8b_clip	lower	2020-09-10	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200910_160117_36_222c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	5	2020-09-10	0
lower__20200914_165151_23_2307_3B_AnalyticMS_SR_8b_clip	lower	2020-09-14	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200914_165151_23_2307_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-12	2
lower__20200915_160320_48_222f_3B_AnalyticMS_SR_8b_clip	lower	2020-09-15	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200915_160320_48_222f_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-17	2
lower__20200919_155910_84_220b_3B_AnalyticMS_SR_8b_clip	lower	2020-09-19	2020-09	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_09_81157e7e-4169-49ad-8e40-ecee46d8a07e/81157e7e-4169-49ad-8e40-ecee46d8a07e/PSScene/20200919_155910_84_220b_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-09-17	2
lower__20201111_160638_63_222f_3B_AnalyticMS_SR_8b_clip	lower	2020-11-11	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201111_160638_63_222f_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	4	2020-11-11	0
lower__20201111_161248_32_2441_3B_AnalyticMS_SR_8b_clip	lower	2020-11-11	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201111_161248_32_2441_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	2	2020-11-09	2
lower__20201112_155506_85_220b_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201112_155506_85_220b_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-11	1
lower__20201112_164758_06_240a_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_164758_06_240a_3B_AnalyticMS_SR_8b_clip.tif	no_overlap	1	pm5	1	2020-11-11	1
lower__20201112_165358_92_2274_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_165358_92_2274_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	3	2020-11-11	1
lower__20201112_165512_69_2407_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_165512_69_2407_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-11	1
lower__20201112_165712_68_2405_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201112_165712_68_2405_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	3	2020-11-11	1
lower__20201112_165808_43_227c_3B_AnalyticMS_SR_8b_clip	lower	2020-11-12	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201112_165808_43_227c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-11	1
lower__20201115_160536_96_222c_3B_AnalyticMS_SR_8b_clip	lower	2020-11-15	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201115_160536_96_222c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	3	2020-11-14	1
lower__20201115_165246_87_241c_3B_AnalyticMS_SR_8b_clip	lower	2020-11-15	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_b0121492-7902-41de-9b36-dc9af277c715/b0121492-7902-41de-9b36-dc9af277c715/PSScene/20201115_165246_87_241c_3B_AnalyticMS_SR_8b_clip.tif	empty_patch	1	pm5	1	2020-11-11	4
lower__20201115_165503_29_2254_3B_AnalyticMS_SR_8b_clip	lower	2020-11-15	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201115_165503_29_2254_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	3	2020-11-14	1
lower__20201116_160802_02_227e_3B_AnalyticMS_SR_8b_clip	lower	2020-11-16	2020-11	/scrfs/storage/thanyu/home/data/analytic_8b_sr_udm2/Lower/2020_11_cc31b59f-00b7-4460-b59c-69397cbac98c/cc31b59f-00b7-4460-b59c-69397cbac98c/PSScene/20201116_160802_02_227e_3B_AnalyticMS_SR_8b_clip.tif	planet_read_error	1	pm5	4	2020-11-14	2
